"Country","Annees","Deces","Malades"
"Benin","2012","2261","705839"
"Burkina Faso","2012","7963","3858046"
"Côte d’Ivoire","2012","1534","1140627"
"Gambia","2012","289","300363"
"Ghana","2012","2855","3755166"
"Guinea","2012","979","317200"
"Guinea-Bissau","2012","370","50381"
"Liberia","2012","1725","1407455"
"Mali","2012","1894","886482"
"Niger","2012","2825","842343"
"Nigeria","2012","7734",""
"Senegal","2012","649","281958"
"Sierra Leone","2012","3611","1537322"
"Togo","2012","1197","697374"
