"Country","Annees","Deces","Malades"
"Benin","2014","1869","1044235"
"Burkina Faso","2014","5632","5428655"
"Côte d’Ivoire","2014","4069","3712831"
"Gambia","2014","170","166229"
"Ghana","2014","2200","3415912"
"Guinea","2014","1067","660207"
"Guinea-Bissau","2014","357","93431"
"Liberia","2014","2288","864204"
"Mali","2014","2309","2039853"
"Niger","2014","2691","1953309"
"Nigeria","2014","6082","7826954"
"Senegal","2014","500","268912"
"Sierra Leone","2014","2848","1374476"
"Togo","2014","1205","1130251"
