"Country","Annees","Deces","Malades"
"Benin","2009","1375","889597"
"Burkina Faso","2009","7982","182527"
"Côte d’Ivoire","2009","18156","7388"
"Gambia","2009","240","50378"
"Ghana","2009","3378","1104370"
"Guinea","2009","586","35841"
"Guinea-Bissau","2009","369","11757"
"Liberia","2009","1706","839581"
"Mali","2009","2331",""
"Niger","2009","2159","309675"
"Nigeria","2009","7522","479845"
"Senegal","2009","574","165933"
"Sierra Leone","2009","1734","646808"
"Togo","2009","1556","391338"
