"Country","Annees","Deces","Malades"
"Benin","2016","1646","1324576"
"Burkina Faso","2016","3974","9779154"
"Côte d’Ivoire","2016","3340","3471024"
"Gambia","2016","79","153774"
"Ghana","2016","1264","4535167"
"Guinea","2016","867","992146"
"Guinea-Bissau","2016","191","150903"
"Liberia","2016","1259","1191137"
"Mali","2016","1344","2156282"
"Niger","2016","2226","4148167"
"Nigeria","2016","","9234387"
"Senegal","2016","325","349540"
"Sierra Leone","2016","1348","1775306"
"Togo","2016","847","1113927"
